Groenlandia ; 2 ; 2 ; 3 ; 5 ; 13 ; 4
Guadalupe ; 16 ; 17 ; 28 ; 36 ; 88 ; 41
Guam ; 8 ; 8 ; 14 ; 19 ; 36 ; 11
Guatemala ; 1152 ; 1087 ; 1542 ; 1753 ; 1866 ; 503
Guayana francesa ; 14 ; 14 ; 21 ; 27 ; 44 ; 10
Guinea ; 948 ; 841 ; 1113 ; 1279 ; 1516 ; 284
Guinea Ecuatorial ; 62 ; 52 ; 70 ; 85 ; 103 ; 18
Guinea-Bissau ; 150 ; 128 ; 170 ; 187 ; 231 ; 52
Guyana ; 30 ; 31 ; 62 ; 75 ; 145 ; 42
Haiti ; 657 ; 636 ; 953 ; 1260 ; 1578 ; 340
Honduras ; 503 ; 486 ; 738 ; 990 ; 1199 ; 277
Hungria ; 247 ; 257 ; 405 ; 741 ; 2093 ; 938
India ; 64710 ; 64710 ; 103535 ; 146244 ; 235543 ; 53062
Indonesia ; 10012 ; 10500 ; 16849 ; 24419 ; 48838 ; 11233
Iran (Republica Islamica del) ; 3417 ; 3417 ; 4608 ; 9376 ; 16368 ; 3099
Iraq ; 2404 ; 2332 ; 3409 ; 4091 ; 5060 ; 861
Irlanda ; 181 ; 181 ; 254 ; 371 ; 1060 ; 396
Islandia ; 12 ; 12 ; 18 ; 31 ; 79 ; 31
Islas Caiman ; 2 ; 2 ; 4 ; 5 ; 12 ; 3
Islas Cook ; 1 ; 1 ; 2 ; 2 ; 3 ; 1
Islas Feroe (Miembro Asociado) ; 2 ; 2 ; 3 ; 4 ; 10 ; 6
Islas Malvinas ; 0 ; 0 ; 0 ; 0 ; 1 ; 0
Islas Marianas septentrionales ; 5 ; 5 ; 7 ; 10 ; 17 ; 3
Islas Marshall ; 4 ; 3 ; 5 ; 7 ; 12 ; 2
Islas Salomon ; 40 ; 38 ; 56 ; 69 ; 92 ; 16
Islas Turcas y Caicos ; 1 ; 1 ; 2 ; 3 ; 7 ; 2
Islas Virgenes (EE.UU.) ; 3 ; 4 ; 6 ; 9 ; 17 ; 11
Islas Virgenes Britanicas ; 1 ; 1 ; 1 ; 2 ; 5 ; 1
Islas Wallis y Futuna ; 1 ; 1 ; 1 ; 2 ; 2 ; 1
Israel ; 352 ; 360 ; 548 ; 704 ; 1361 ; 555
Italia ; 1394 ; 1515 ; 2364 ; 3697 ; 13272 ; 7333
Jamahiriya Arabe Libia ; 372 ; 365 ; 523 ; 709 ; 1439 ; 279
Jamaica ; 128 ; 128 ; 212 ; 301 ; 449 ; 150
Japon ; 2390 ; 2642 ; 4780 ; 7673 ; 25158 ; 18365
Jordania ; 397 ; 390 ; 577 ; 786 ; 1211 ; 202
Kazajstan ; 749 ; 749 ; 928 ; 1678 ; 2997 ; 619
Kenya ; 3668 ; 3343 ; 4272 ; 5108 ; 5851 ; 929
Kirguistan ; 300 ; 294 ; 417 ; 676 ; 1023 ; 200
Kiribati ; 5 ; 5 ; 8 ; 11 ; 19 ; 4
Kuwait ; 132 ; 132 ; 189 ; 351 ; 1071 ; 111
La ex Republica Yugoslava de Macedonia ; 57 ; 57 ; 102 ; 184 ; 448 ; 172
Lesotho ; 137 ; 132 ; 208 ; 269 ; 225 ; 61
Letonia ; 62 ; 57 ; 81 ; 180 ; 455 ; 182
Libano ; 168 ; 164 ; 292 ; 465 ; 850 ; 230
Liberia ; 359 ; 322 ; 439 ; 499 ; 597 ; 107
Liechtenstein ; 1 ; 1 ; 2 ; 3 ; 8 ; 4
Lituania ; 79 ; 75 ; 126 ; 277 ; 660 ; 255
Luxemburgo ; 15 ; 15 ; 25 ; 42 ; 115 ; 47
Madagascar ; 1691 ; 1531 ; 2171 ; 2491 ; 2948 ; 548
Malasia ; 1382 ; 1412 ; 2223 ; 3184 ; 5678 ; 1352
Malawi ; 1494 ; 1332 ; 1836 ; 1980 ; 1944 ; 396
