Groenlandia ; 2 ; 2 ; 3 ; 5 ; 12 ; 6
Guadalupe ; 16 ; 17 ; 27 ; 37 ; 102 ; 52
Guam ; 8 ; 8 ; 13 ; 18 ; 35 ; 13
Guatemala ; 1120 ; 1055 ; 1509 ; 1801 ; 2239 ; 584
Guayana francesa ; 14 ; 13 ; 21 ; 26 ; 46 ; 11
Guinea ; 912 ; 805 ; 1078 ; 1232 ; 1481 ; 343
Guinea Ecuatorial ; 61 ; 52 ; 69 ; 85 ; 107 ; 20
Guinea-Bissau ; 148 ; 128 ; 170 ; 187 ; 240 ; 61
Guyana ; 29 ; 30 ; 60 ; 72 ; 134 ; 42
Haiti ; 625 ; 614 ; 931 ; 1271 ; 1687 ; 405
Honduras ; 486 ; 470 ; 713 ; 973 ; 1258 ; 302
Hungria ; 237 ; 237 ; 385 ; 721 ; 2133 ; 1471
India ; 59533 ; 59533 ; 94476 ; 134596 ; 221307 ; 58239
Indonesia ; 9523 ; 10012 ; 16361 ; 24175 ; 49327 ; 13186
Iran (Republica Islamica del) ; 3258 ; 3258 ; 4370 ; 8978 ; 16050 ; 3258
Iraq ; 2261 ; 2189 ; 3230 ; 3875 ; 4988 ; 1112
Irlanda ; 171 ; 171 ; 239 ; 362 ; 1036 ; 454
Islandia ; 12 ; 11 ; 17 ; 29 ; 68 ; 33
Islas Caiman ; 2 ; 2 ; 4 ; 5 ; 13 ; 4
Islas Cook ; 1 ; 1 ; 2 ; 2 ; 3 ; 1
Islas Feroe (Miembro Asociado) ; 2 ; 2 ; 2 ; 4 ; 10 ; 7
Islas Malvinas ; 0 ; 0 ; 0 ; 0 ; 1 ; 0
Islas Marianas septentrionales ; 5 ; 4 ; 7 ; 11 ; 19 ; 3
Islas Marshall ; 3 ; 3 ; 5 ; 8 ; 14 ; 3
Islas Salomon ; 36 ; 35 ; 52 ; 63 ; 87 ; 16
Islas Turcas y Caicos ; 1 ; 1 ; 2 ; 3 ; 8 ; 2
Islas Virgenes (EE.UU.) ; 3 ; 3 ; 6 ; 9 ; 20 ; 15
Islas Virgenes Britanicas ; 1 ; 1 ; 1 ; 2 ; 5 ; 2
Islas Wallis y Futuna ; 1 ; 1 ; 1 ; 2 ; 3 ; 1
Israel ; 336 ; 344 ; 516 ; 673 ; 1369 ; 688
Italia ; 1273 ; 1394 ; 2242 ; 3515 ; 13030 ; 9515
Jamahiriya Arabe Libia ; 351 ; 351 ; 494 ; 673 ; 1346 ; 258
Jamaica ; 120 ; 120 ; 206 ; 295 ; 507 ; 170
Japon ; 2264 ; 2516 ; 4528 ; 7422 ; 24781 ; 23271
Jordania ; 376 ; 376 ; 550 ; 751 ; 1134 ; 209
Kazajstan ; 700 ; 717 ; 896 ; 1629 ; 3388 ; 1222
Kenya ; 3622 ; 3343 ; 4272 ; 5108 ; 5758 ; 1114
Kirguistan ; 282 ; 276 ; 400 ; 658 ; 1075 ; 282
Kiribati ; 5 ; 5 ; 8 ; 13 ; 21 ; 4
Kuwait ; 128 ; 128 ; 182 ; 277 ; 601 ; 71
La ex Republica Yugoslava de Macedonia ; 53 ; 53 ; 94 ; 174 ; 436 ; 215
Lesotho ; 134 ; 132 ; 208 ; 284 ; 282 ; 95
Letonia ; 57 ; 55 ; 77 ; 174 ; 481 ; 334
Libano ; 164 ; 159 ; 279 ; 451 ; 934 ; 274
Liberia ; 350 ; 313 ; 434 ; 499 ; 616 ; 126
Liechtenstein ; 1 ; 1 ; 1 ; 2 ; 8 ; 5
Lituania ; 75 ; 72 ; 119 ; 264 ; 679 ; 459
Luxemburgo ; 14 ; 14 ; 24 ; 40 ; 114 ; 56
Madagascar ; 1668 ; 1531 ; 2171 ; 2514 ; 3017 ; 617
Malasia ; 1322 ; 1322 ; 2103 ; 3094 ; 5528 ; 1442
Malawi ; 1458 ; 1296 ; 1800 ; 1962 ; 2034 ; 486
Maldivas ; 15 ; 14 ; 22 ; 44 ; 63 ; 11
Mali ; 1229 ; 1065 ; 1409 ; 1649 ; 1904 ; 300
Malta ; 9 ; 9 ; 17 ; 33 ; 86 ; 55
Marruecos ; 1579 ; 1511 ; 2334 ; 3708 ; 6729 ; 1682
Martinica ; 12 ; 12 ; 22 ; 32 ; 89 ; 51
Mauricio ; 45 ; 43 ; 78 ; 122 ; 286 ; 103
Mauritania ; 246 ; 228 ; 325 ; 399 ; 545 ; 97
Mexico ; 4621 ; 4852 ; 7971 ; 11668 ; 22875 ; 6816
Micronesia (Estados Federados de) ; 6 ; 6 ; 10 ; 13 ; 16 ; 4
Monaco ; 1 ; 1 ; 1 ; 2 ; 7 ; 5
Mongolia ; 120 ; 117 ; 174 ; 337 ; 588 ; 108
Montenegro ; 18 ; 18 ; 31 ; 52 ; 130 ; 69
Montserrat ; 0 ; 0 ; 0 ; 1 ; 1 ; 0
Mozambique ; 1973 ; 1843 ; 2570 ; 2803 ; 3271 ; 779
Myanmar ; 2283 ; 2230 ; 3504 ; 5415 ; 10936 ; 2814
Namibia ; 142 ; 140 ; 207 ; 287 ; 355 ; 87
Nauru ; 1 ; 1 ; 1 ; 1 ; 2 ; 0
Nepal ; 1723 ; 1690 ; 2795 ; 3705 ; 5265 ; 1203
Nicaragua ; 338 ; 332 ; 507 ; 733 ; 1021 ; 244
Niger ; 1915 ; 1589 ; 1800 ; 1858 ; 2049 ; 326
Nigeria ; 13195 ; 11963 ; 16185 ; 19000 ; 22695 ; 4750
Noruega ; 141 ; 151 ; 242 ; 383 ; 997 ; 267
Nueva Caledonia ; 10 ; 10 ; 17 ; 26 ; 54 ; 33
Nueva Zelandia ; 144 ; 144 ; 229 ; 368 ; 907 ; 305
Oman ; 160 ; 147 ; 230 ; 336 ; 461 ; 339
Paises Bajos ; 440 ; 457 ; 795 ; 1218 ; 3434 ; 423
Pakistan ; 12741 ; 11714 ; 16851 ; 22605 ; 29387 ; 26510
Palau ; 1 ; 1 ; 2 ; 2 ; 4 ; 1
Panama ; 166 ; 170 ; 264 ; 362 ; 694 ; 136
Papua Nueva Guinea ; 484 ; 461 ; 676 ; 814 ; 1152 ; 438
Paraguay ; 364 ; 364 ; 561 ; 778 ; 1100 ; 175
Peru ; 1404 ; 1435 ; 2277 ; 3276 ; 5553 ; 1373
Polinesia Francesa ; 12 ; 12 ; 18 ; 29 ; 55 ; 15
Polonia ; 907 ; 907 ; 1436 ; 2985 ; 8351 ; 2078
Portugal ; 237 ; 259 ; 431 ; 690 ; 2384 ; 1445
Puerto Rico ; 126 ; 122 ; 208 ; 330 ; 831 ; 587
Qatar ; 42 ; 42 ; 62 ; 85 ; 178 ; 202
Reino Unido ; 1842 ; 1779 ; 2795 ; 4892 ; 12769 ; 508
Republica Arabe Siria ; 1421 ; 1421 ; 1935 ; 2645 ; 3944 ; 3135
Republica Centroafricana ; 340 ; 315 ; 463 ; 562 ; 660 ; 143
Republica Checa ; 273 ; 263 ; 368 ; 746 ; 2228 ; 347
Republica De Corea ; 1032 ; 1081 ; 2064 ; 3736 ; 11748 ; 6832
Republica De Moldova ; 104 ; 100 ; 142 ; 343 ; 755 ; 364
Republica Democratica Del Congo ; 6581 ; 5652 ; 7664 ; 8439 ; 8903 ; 8439
Republica Democratica Popular Lao ; 415 ; 387 ; 604 ; 843 ; 1033 ; 162
