Continente                                         Pais               Total   Hombres   Mujeres  %Hombres  %Mujeres
Asia           Cote d'Ivoire                                          24210     12274     11936      50.7%      49.3%
Asia           Ecuador                                                14611      7298      7313     49.95%     50.05%
Asia           Emiratos Arabes Unidos                                  5188      3448      1740     66.46%     33.54%
Asia           Filipinas                                             101836     51376     50460     50.45%     49.55%
Asia           Guam                                                     191        97        94     50.79%     49.21%
Asia           Guayana francesa                                         261       130       131     49.81%     50.19%
Asia           Guyana                                                   752       385       367      51.2%      48.8%
Asia           India                                                1295486    667803    627683     51.55%     48.45%
Asia           Indonesia                                             244435    121851    122584     49.85%     50.15%
Asia           Iran (Republica Islamica del)                          79454     40283     39171      50.7%      49.3%
Asia           Iraq                                                   35812     18157     17655      50.7%      49.3%
Asia           Islas Malvinas                                             3         1         2     33.33%     66.67%
Asia           Islas Marianas septentrionales                            96        46        50     47.92%     52.08%
Asia           Islas Marshall                                            70        34        36     48.57%     51.43%
Asia           Israel                                                  7807      3880      3927      49.7%      50.3%
Asia           Japon                                                 125791     61009     64782      48.5%      51.5%
Asia           Jordania                                                6957      3562      3395      51.2%      48.8%
Asia           Kazajstan                                              16273      7721      8552     47.45%     52.55%
Asia           Kirguistan                                              5883      2909      2974     49.45%     50.55%
Asia           Kuwait                                                  3375      1986      1388     58.84%     41.13%
Asia           Libano                                                  4430      2169      2262     48.96%     51.06%
Asia           Malasia                                                30041     15231     14810      50.7%      49.3%
Asia           Maldivas                                                 338       170       167      50.3%     49.41%
Asia           Mongolia                                                2855      1410      1445     49.39%     50.61%
Asia           Myanmar                                                53087     25906     27181      48.8%      51.2%
Asia           Nepal                                                  32503     16121     16382      49.6%      50.4%
Asia           Oman                                                    3454      1781      1673     51.56%     48.44%
Asia           Pakistan                                              225438    105629    119809     46.86%     53.14%
Asia           Paraguay                                                6867      3525      3342     51.33%     48.67%
Asia           Peru                                                   30979     15661     15318     50.55%     49.45%
Asia           Qatar                                                   1821      1209       611     66.39%     33.55%
Asia           Republica Arabe Siria                                  26943     12443     14500     46.18%     53.82%
Asia           Republica De Corea                                     50824     24331     26493     47.87%     52.13%
Asia           Republica Democratica Popular Lao                       6951      3507      3444     50.45%     49.55%
Asia           Republica Popular Democratica de Corea                 23618     12053     11565     51.03%     48.97%
Asia           Singapur                                                4492      2535      1958     56.43%     43.59%
Asia           Sri Lanka                                              19833     10372      9462      52.3%     47.71%
Asia           Suriname                                                 533       273       260     51.22%     48.78%
Asia           Tailandia                                              74135     34270     39865     46.23%     53.77%
Asia           Tayikistan                                              7963      3826      4137     48.05%     51.95%
Asia           Territorio Palestino Ocupado                            5136      2596      2540     50.55%     49.45%
Asia           Turkmenistan                                            5564      2710      2854     48.71%     51.29%
Asia           Uruguay                                                 3228      1657      1571     51.33%     48.67%
Asia           Uzbekistan                                             29809     14669     15140     49.21%     50.79%
Asia           Venezuela (Republica Bolivariana de)                   30291     15677     14613     51.75%     48.24%
Asia           Viet Nam                                               98704     46449     52255     47.06%     52.94%
Asia           Yemen                                                  28320     14049     14271     49.61%     50.39%
Europa         Albania                                                 3256      1602      1654      49.2%      50.8%
Europa         Alemania                                               81265     39941     41324     49.15%     50.85%
Europa         Andorra                                                   93        48        45     51.61%     48.39%
Europa         Armenia                                                 3136      1466      1670     46.75%     53.25%
Europa         Austria                                                 8467      4149      4318      49.0%      51.0%
Europa         Belarus                                                 9346      4331      5014     46.34%     53.65%
Europa         Belgica                                                10878      5319      5559      48.9%      51.1%
Europa         Bosnia y Herzegovina                                    3731      1793      1938     48.06%     51.94%
Europa         Bulgaria                                                7263      3501      3762      48.2%      51.8%
